,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ashley,0.13551844452288303,0.20021342817896864,0.1461816400816493,0.16475928397114162,0.08925454957791405,0.17823396976199482,0.20610918597408795,0.16486792235362951,0.1560561494231757,0.08357071768441761,0.08848298471744095,0.07033252876780106,0.10019204377394893,0.06305027307079629,0.08419032265545708
Bedminster,0.010036082653720803,0.00542818174562294,0.0057023572337730226,0.006113220217850425,0.006430063650192692,0.007029832687499386,0.007349883159062748,0.009602553354955396,0.009885055566713333,0.006642675516834628,0.007319020673190085,0.0053951069404355,0.0049935451246164095,0.0049975083025233,0.008984866880629078
Avonmouth and Lawrence Weston,0.011565958914873012,0.0055192951744634745,0.004139308878718932,0.004322387432443187,0.0042965810207163425,0.004200273772492433,0.004358224926167225,0.004375060551338933,0.0048659422615251755,0.0039759606524306474,0.004802791554535776,0.00457378664684674,0.006498753449706513,0.0064258569750313054,0.006464499266912605
Bishopsworth,0.008532703764540303,0.014549328277138684,0.0111040422323491,0.013187598452901338,0.01533759275871029,0.016528550608924237,0.018189714701471887,0.01787216498874677,0.017819788786186983,0.01824722484226808,0.017742979920353896,0.022596237202901808,0.022374001347402313,0.023413192270220165,0.022760531471566803
Bishopston and Ashley Down,0.028112633863008912,0.010525708889796355,0.011518276986127814,0.015767510975214796,0.01750071579421746,0.014996232962710717,0.016152422756749375,0.01945042953126685,0.02041594514816217,0.021805539486449206,0.02062898058095618,0.021080971264554084,0.018501485005987632,0.0213014682060038,0.019433877406920434
Brislington East,0.008989039392897953,0.006335467139976563,0.006333290128669029,0.007549184902583587,0.005080553438175462,0.008344320166035578,0.00910866403977643,0.013123705708913268,0.008502477237329024,0.006119476406708255,0.004885958648985252,0.005017215489665394,0.00713285419308142,0.0073283061218163675,0.00713296704965691
Easton,0.010960978674596644,0.016596440533951998,0.01139802865563863,0.009822029118884138,0.010641158955812078,0.00845314044282507,0.007383609037007501,0.009206715761971797,0.009070119989037097,0.005753817201577737,0.011066812674349993,0.009814930116916927,0.010577904717572337,0.007098473724696774,0.020234966623717692
Clifton,0.10063194618160445,0.03724850677577181,0.03294705274197866,0.03097254663682998,0.0325551848974481,0.034996332560381815,0.028922697554222408,0.027564683634101875,0.030191758992815843,0.04440874935570681,0.04237849513436853,0.047071848718423036,0.04967105869483289,0.04289203851590047,0.035756694792946596
Frome Vale,0.010319218141090918,0.010109398210808319,0.009984553257865169,0.010466871097748099,0.009601986642304078,0.008256117636040259,0.013103884267490408,0.01210642601421561,0.013429801732372137,0.013405774261676323,0.012794163573223192,0.013483514835572172,0.020115184258243,0.016027029822600947,0.016139971643794
Filwood,0.02766274645935984,0.01702439230418508,0.013926637647822253,0.015346389448190825,0.014123618810276144,0.016487103679683174,0.016685637487612596,0.015150083439059908,0.01590858143991529,0.016106889063348676,0.013904894832283845,0.011898065843173686,0.012305909482350821,0.011525812400855815,0.012574788465100557
