,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ashley,1.0,9.0,1.0,1.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,6.0,6.0,6.0
Bedminster,8.0,2.0,6.0,9.0,6.0,2.0,8.0,2.0,7.0,5.0,1.0,1.0,4.0,3.0,3.0
Avonmouth and Lawrence Weston,2.0,8.0,3.0,7.0,6.0,3.0,3.0,8.0,3.0,8.0,3.0,3.0,7.0,7.0,7.0
Bishopsworth,9.0,8.0,8.0,9.0,3.0,2.0,4.0,4.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0
Bishopston and Ashley Down,2.0,1.0,1.0,6.0,7.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,7.0
Brislington East,7.0,7.0,7.0,7.0,7.0,9.0,5.0,2.0,4.0,9.0,2.0,2.0,7.0,9.0,8.0
Easton,6.0,5.0,3.0,4.0,4.0,5.0,4.0,1.0,1.0,6.0,5.0,3.0,3.0,2.0,3.0
Clifton,4.0,3.0,3.0,2.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Frome Vale,9.0,5.0,9.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
Filwood,2.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,6.0,2.0,2.0,4.0,2.0,1.0,5.0
Cotham,3.0,1.0,1.0,3.0,2.0,6.0,2.0,6.0,6.0,1.0,2.0,1.0,1.0,7.0,6.0
Clifton Down,7.0,5.0,4.0,7.0,2.0,2.0,1.0,9.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0
Brislington West,8.0,3.0,9.0,8.0,9.0,5.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0
Eastville,5.0,5.0,8.0,3.0,2.0,3.0,3.0,5.0,3.0,1.0,1.0,3.0,9.0,5.0,7.0
Central,1.0,1.0,1.0,1.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,8.0,9.0,3.0,5.0
Hartcliffe and Withywood,1.0,2.0,2.0,3.0,2.0,7.0,2.0,2.0,3.0,2.0,2.0,8.0,3.0,2.0,1.0
Lockleaze,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,9.0,9.0,9.0,9.0
Hillfields,5.0,4.0,3.0,7.0,1.0,1.0,3.0,9.0,9.0,9.0,2.0,6.0,1.0,8.0,9.0
Henbury and Brentry,9.0,4.0,7.0,5.0,8.0,5.0,6.0,6.0,7.0,1.0,1.0,7.0,7.0,1.0,4.0
Redland,1.0,3.0,1.0,1.0,6.0,7.0,6.0,6.0,9.0,4.0,1.0,2.0,2.0,2.0,1.0
Horfield,3.0,9.0,9.0,9.0,7.0,6.0,7.0,9.0,7.0,6.0,6.0,9.0,1.0,2.0,2.0
Knowle,7.0,7.0,7.0,2.0,6.0,9.0,7.0,4.0,7.0,1.0,5.0,1.0,1.0,3.0,5.0
Lawrence Hill,5.0,9.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0
Hengrove and Whitchurch Park,8.0,2.0,6.0,6.0,6.0,8.0,8.0,8.0,7.0,5.0,7.0,6.0,8.0,9.0,7.0
Hotwells and Harbourside,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,2.0,1.0,4.0,4.0,3.0,1.0
St George Central,6.0,3.0,3.0,1.0,2.0,1.0,9.0,5.0,5.0,8.0,7.0,5.0,6.0,6.0,2.0
Stockwood,8.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,6.0
Southmead,2.0,9.0,1.0,9.0,3.0,2.0,3.0,8.0,3.0,2.0,1.0,1.0,1.0,9.0,9.0
Stoke Bishop,9.0,6.0,2.0,2.0,2.0,1.0,5.0,4.0,2.0,7.0,2.0,4.0,8.0,8.0,5.0
Westbury-on-Trym and Henleaze,5.0,4.0,2.0,6.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,7.0,6.0,1.0
Windmill Hill,8.0,6.0,2.0,2.0,1.0,4.0,4.0,4.0,5.0,9.0,9.0,5.0,5.0,5.0,5.0
Southville,5.0,5.0,1.0,1.0,1.0,9.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,4.0
St George Troopers Hill,1.0,5.0,2.0,1.0,4.0,2.0,6.0,5.0,4.0,5.0,6.0,6.0,4.0,6.0,5.0
St George West,3.0,7.0,9.0,8.0,9.0,3.0,3.0,9.0,8.0,4.0,8.0,8.0,6.0,7.0,2.0
