,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ashley,0.4583375812825511,0.2217019895031156,0.38107167161903566,0.40650987930529225,0.5146975388267403,0.33105483038956585,0.28973231355812223,0.39439104365684563,0.3837851345004226,0.6314731857887428,0.6519567837136322,0.7125820562499217,0.6244650729599044,0.7698375707927702,0.7469470722033676
Bedminster,0.9586769457012596,0.9776525054265938,0.9771866119651955,0.9755450983376981,0.9752140100153612,0.9716995483891194,0.9706329245499955,0.955784770517464,0.9569365033746767,0.9651642078504189,0.9690354475870369,0.9775376264774538,0.9740826865448091,0.9761185541796688,0.9646809276036057
Avonmouth and Lawrence Weston,0.9451116441677267,0.9772912874977616,0.980560637798857,0.9799583391269142,0.9812858056488113,0.9815676096832767,0.9802490515859684,0.9809105721364374,0.9780336604821206,0.982980813912196,0.9812683471095072,0.9802808637739826,0.969990032170835,0.9690540901338939,0.9708136015136394
Bishopsworth,0.9698269081246702,0.9595011393251279,0.9578766997912123,0.9509388309417681,0.944846152550443,0.9406017102074428,0.9366643467983913,0.9367790697825098,0.9353181076060523,0.9362574675240993,0.9356059837287153,0.9185555783583328,0.9161486603690724,0.9177386467951705,0.9199773742077968
Bishopston and Ashley Down,0.8546126490848494,0.9490437616567013,0.9425705371061747,0.924351040506281,0.9096861486591168,0.9122848713460262,0.909717855733881,0.9039078643189236,0.8919015205048835,0.9092402095535087,0.9098964883509694,0.8912946963663452,0.8991053648708488,0.9034109971543267,0.8989422034643657
Brislington East,0.9679835819726343,0.9776642361813933,0.9774389873403162,0.97588973816572,0.9819439360609373,0.9784721341422757,0.9564506193657086,0.9774933021722249,0.9654057766938737,0.9782796169292401,0.9810413822396044,0.9817714325491635,0.9740447184481748,0.9752357123711868,0.9767781799719569
Easton,0.9630590711258593,0.9360795972008493,0.9582835532252891,0.9645681950081999,0.9630849367659221,0.9727822813297677,0.9715441481658117,0.9633471699244011,0.9664487417190706,0.9713565688858755,0.9535694330635253,0.9599931679082272,0.9643975202062784,0.9736495769195197,0.9526979314983393
Clifton,0.12351409082712772,0.7244005968612699,0.7117443179699301,0.7159700889803045,0.7400522430238237,0.7219402342485775,0.7309059382575729,0.7700836048681714,0.7685416829274268,0.6422066247095166,0.645064883920534,0.5936323708910243,0.6288099385791853,0.6453407293509519,0.6823139762390675
Frome Vale,0.9604590957884479,0.9591524642482453,0.9587732657772596,0.9577277159737382,0.9609378838250715,0.9672786527694969,0.9536616607754459,0.9448561410280654,0.9491462770551432,0.9432428308692603,0.9480650680029081,0.9429791771123177,0.925880133572404,0.9339628567702679,0.9390881938569667
Filwood,0.9110027458440215,0.9564244995770134,0.9535072221081998,0.9520102597043836,0.9525168775469077,0.9520825944394669,0.9500422680092374,0.9567505265277639,0.9534807487591779,0.9534094721440116,0.9581637218666084,0.9643211165166629,0.964338218749272,0.9653567981114825,0.9621443385359987
