,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ashley,0.1341515497219108,0.20470969429481867,0.15064389349068863,0.17073721117074608,0.13730706474925763,0.17073283057543112,0.2002048751726938,0.15906071645851386,0.17372853473508795,0.08659313127667286,0.08661966445795885,0.05867652359311955,0.09370526034996493,0.06960129994281526,0.06692341574615406
Bedminster,0.010131132241985691,0.00550608853514493,0.005799190046963594,0.005517125702926433,0.006352091136760236,0.00645923468347826,0.006980714495443726,0.009949451022633974,0.009531830436652488,0.0075293015870096305,0.007342323636272477,0.0050367123749855145,0.006086406595104404,0.006536359766223051,0.006742246470801461
Avonmouth and Lawrence Weston,0.01150968414208356,0.005283200441279265,0.003931220755230653,0.004529854994014876,0.004313969982761955,0.004222325244947442,0.004418445255634312,0.004514660700717902,0.004683903665999381,0.003960677689659096,0.004374350254927619,0.004455279108647148,0.006809971138163676,0.005987325363266526,0.006725532614378061
Bishopsworth,0.008663848335413381,0.014873275676611359,0.013483557670828364,0.013595206636902736,0.015518204949029463,0.017265438150906788,0.017650359660071006,0.01807644530950212,0.017393194139856353,0.018088617972144207,0.017878909353176126,0.022459288039248543,0.023359378812511503,0.023523359719540723,0.02439248179084956
Bishopston and Ashley Down,0.03458300339017304,0.011240961179527503,0.010808371289941434,0.015559687489771582,0.016968932828816077,0.017485760588069856,0.017066731343072728,0.01943173875651928,0.019217313403503578,0.02069937805855422,0.018309155833104107,0.021743440758666254,0.020005797611436497,0.022199857804018088,0.01921465627485661
Brislington East,0.009408520935660093,0.0063602050462881615,0.006327144781411666,0.006569605621113399,0.0049921761462496635,0.005689660834050789,0.010079884462481254,0.008778523023525345,0.008878697391926252,0.005733662686168696,0.004924448472812703,0.005885969754542254,0.006996484097708024,0.007020432806161281,0.006496799557699877
Easton,0.010899475482094866,0.008938413399387486,0.01257146246154697,0.009238729249729636,0.007999591940564238,0.008339940274819923,0.006914061377484458,0.009505320503234488,0.007351635521564953,0.0060849807661459065,0.012396351345550435,0.009545592187461559,0.011732383936385222,0.007292561778699704,0.011136844708194376
Clifton,0.10564158443112305,0.03723244690422492,0.03102367499827236,0.03442312965019967,0.033141328749056564,0.03295937709968468,0.030972220471862134,0.02804564142036142,0.0286589913052249,0.04429342285787404,0.04133081224886689,0.05045860765985709,0.045457163629063484,0.047997770423012676,0.03533611682266301
Frome Vale,0.00991674742656278,0.010050241402525683,0.010000264049987858,0.010352863155521395,0.009570215715935,0.009100768190866273,0.012587246054729485,0.0138052323493047,0.012787060755296138,0.013182217649893423,0.01267467980269676,0.014315615319948832,0.018460516716852282,0.015775294413733383,0.016106748469629527
Filwood,0.027950970505771146,0.014814709606504996,0.01953578835931645,0.014480346360237206,0.015579595294872198,0.015883406266698537,0.016642009771892913,0.014831381363797143,0.015981164086752524,0.015874829721087294,0.013947006609823981,0.012487815408590189,0.01233788283852642,0.01229650147821846,0.013127320057358527
Cotham,0.01952512126302365,0.021298075745149764,0.05410251994313062,0.05547200587356371,0.047448761300927324,0.048289954567180916,0.057924766089209635,0.06545046500654637,0.06735135809593583,0.0841030386161118,0.09306658465218406,0.09278847428631101,0.09178144566763134,0.0959695010449266,0.09480304287422485
Clifton Down,0.08481875192353044,0.07249666327797857,0.06264481819607694,0.04352416940982529,0.06643666051406945,0.09463110154588641,0.08443059687656064,0.04609478016988347,0.04647539040976335,0.04407684835738363,0.04231800092303545,0.02172239402361494,0.021679847228720746,0.02134083258022009,0.028391793668324377
Brislington West,0.05408113907178301,0.0361011459591336,0.030747208816671073,0.01705370561929329,0.017768549469075523,0.021000632027193888,0.020638648877266026,0.020769625382329626,0.0184163045489825,0.01983860154626797,0.01881240126069887,0.01871847982315187,0.018651871158563354,0.01870726812759773,0.018620089702124
Eastville,0.023901129259144234,0.009819814053643058,0.007656662444555654,0.00974790419588975,0.008672922296945978,0.007692005429685094,0.0058600390605166724,0.010149201451072743,0.006655487531294113,0.0045073226070923055,0.008354944941721123,0.010283160885942432,0.010385795003797793,0.01237535564381219,0.012913999583912275
Central,0.07810222561101758,0.08008812530738474,0.09062662064492011,0.07227740410614174,0.0748270105637275,0.06595660593853568,0.06480585219701876,0.0666828671950558,0.06057429169860227,0.05649104351034436,0.06198320402481092,0.09743596030872684,0.10079762899012482,0.13858533690128802,0.11677064572704329
Hartcliffe and Withywood,0.013039745260749231,0.00869196819807607,0.00890197078296049,0.009714281446618381,0.009041561119110305,0.012200311981360002,0.009118592628489929,0.009086682089531818,0.0096042801749316,0.010593873911334008,0.010695700628654695,0.007597274582537174,0.007445565533218913,0.014904887488236717,0.009048001672991543
Lockleaze,0.006520540520615595,0.005801646591861174,0.005122841969347927,0.010183070647198297,0.007423031153021755,0.009548343364502478,0.008569963311241099,0.008345925449086,0.011456923659794263,0.013399388762428507,0.016278760166079407,0.015530261109804858,0.015704166916175103,0.01611163312546655,0.0142927659505411
Hillfields,0.004180797707495651,0.003160930480458629,0.0031859050543501985,0.0026702728240153746,0.0020231578625179943,0.0020959819871814887,0.0020236690346521246,0.003811231076063032,0.005106036042686874,0.003747100790702876,0.0041398871701503175,0.00508419364507763,0.005687133920760148,0.003919539360749236,0.0045846653658509805
Henbury and Brentry,0.010243560235261942,0.0069193492578471395,0.0057934605455698274,0.0073397856087988106,0.00992107379323693,0.01145647866177018,0.01240250456616766,0.01020274698698545,0.011876085540482018,0.01056488241463563,0.009954497849431093,0.009264418761776208,0.009617235793752376,0.01390155955623132,0.02000678992717418
Redland,0.12973525209815148,0.07493561487834574,0.0712561572471185,0.06529194429707534,0.059115425174296514,0.025827928132058208,0.04762816769382512,0.03127557523781154,0.03161754742453179,0.029569771149129793,0.026658302926996332,0.022383871229036085,0.021818146495248655,0.023385577711508822,0.021003038134920996
Horfield,0.012575525329875452,0.011177872001217039,0.01095032861913216,0.009681653531486692,0.011782150344378267,0.01137934470345415,0.013363431656229108,0.014872602656431097,0.017256575238115232,0.01565733455956724,0.017555715007296777,0.026349932707707958,0.022601175824340583,0.0193988756112316,0.02035012767056101
Knowle,0.03146068321627783,0.0307499507993641,0.03554525420850753,0.023886984623154927,0.02680650234643459,0.02501732615485431,0.02613579053751106,0.02374603523408539,0.02139882191051964,0.0198947761773565,0.01991675236283163,0.019446001127054087,0.022201478629794828,0.020903678025902008,0.021819866257478844
Lawrence Hill,0.02561003920271928,0.019328281436295183,0.0228425624868047,0.02394733863613966,0.019611841384784053,0.020381324862244806,0.0190306943859767,0.02029728038760088,0.015571545206755182,0.016715831596661828,0.01785651673807931,0.019274784679346246,0.0196663513100252,0.01881534456119745,0.017721507909993685
Hengrove and Whitchurch Park,0.012873553636684121,0.005103484244164475,0.005084026894910604,0.006455855435472754,0.006585109273812104,0.005532294757026559,0.005057454265771802,0.004034903461396527,0.0054682588094444925,0.005250677412103329,0.005531691270865687,0.005243131190675748,0.007286528351547147,0.006442263043940636,0.006529516582117593
Hotwells and Harbourside,0.05515585181672527,0.09528293665285788,0.05940464993274367,0.06464054808885826,0.05327532386469004,0.05418621096809302,0.053079495678396156,0.059540682531973324,0.05962842358720779,0.055662518481751404,0.2002277285991089,0.13177518062199647,0.16451554148473224,0.1910917349997711,0.19893200123822682
St George Central,0.0393383238772035,0.008663361392221878,0.0042130177322721694,0.0029896576012452365,0.0018673908156702768,0.0023951395363787102,0.002715839268031077,0.003503433357194382,0.004079656950364059,0.003824414500534756,0.0032062917836960677,0.0036008382378936517,0.004588304548453991,0.004690998776193582,0.006488486521885301
Stockwood,0.014189865366813012,0.016779875484030694,0.01506354218616153,0.0165901630580527,0.0059285463430809315,0.007862766122380986,0.006756835215286398,0.005739286137782081,0.006712051942676185,0.006783891862283356,0.006359653720127635,0.004838503645157243,0.007068223303695869,0.00617913999876134,0.013853346644047578
Southmead,0.07206680799977551,0.02450952449040853,0.00859036298111631,0.008103035439391967,0.005645421839763897,0.005582333188014135,0.006184317053944398,0.006146670281210657,0.0064198029602805795,0.0065595319434178226,0.005925732145670368,0.005846886525786139,0.0059926290633851445,0.007790059226356115,0.008303205043236077
