,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ashley,1,9,1,1,2,4,3,3,3,1,2,3,3,1,6,6
Bedminster,3,2,3,6,8,7,2,4,2,2,1,1,2,3,3,9
Avonmouth and Lawrence Weston,2,2,3,2,4,9,6,3,8,5,8,4,4,5,8,7
Bishopsworth,3,9,8,3,4,4,2,4,4,4,2,4,1,1,1,3
Bishopston and Ashley Down,1,2,1,3,4,7,2,4,3,1,2,2,2,2,4,2
Brislington East,5,7,7,7,5,7,9,7,3,9,7,2,2,6,4,3
Easton,2,5,2,3,4,4,5,4,4,9,3,4,9,3,2,1
Clifton,3,4,6,5,3,3,6,5,2,3,2,2,2,1,2,4
Frome Vale,3,6,7,8,2,1,3,8,4,2,3,4,3,6,1,3
Filwood,4,1,4,3,3,2,2,4,2,6,3,6,4,8,4,5
Cotham,4,7,1,2,3,2,6,2,6,6,4,1,2,1,7,6
Clifton Down,2,7,6,4,4,2,1,1,8,8,8,8,9,9,9,9
Brislington West,5,2,3,8,8,4,4,4,2,4,4,2,1,2,4,4
Eastville,3,9,8,8,2,1,3,4,3,9,1,2,3,2,9,7
Central,2,1,1,1,1,4,7,7,4,4,4,4,8,9,2,5
Hartcliffe and Withywood,3,1,2,2,3,2,3,3,2,3,2,2,8,2,2,6
Lockleaze,5,2,1,1,1,1,1,1,2,3,1,9,4,9,3,9
Hillfields,5,8,2,1,1,9,1,1,9,9,9,7,6,5,6,8
Henbury and Brentry,1,9,4,7,5,5,5,6,6,5,3,8,3,7,4,7
Redland,1,1,1,1,1,8,7,9,4,1,4,3,2,2,2,1
Horfield,3,3,8,9,9,7,6,7,8,5,7,7,2,2,2,2
Knowle,5,7,5,7,3,7,9,2,5,7,1,5,5,5,2,2
Lawrence Hill,2,5,9,6,2,1,3,1,1,1,3,4,3,1,2,2
Hengrove and Whitchurch Park,4,8,2,7,3,3,5,8,8,5,5,5,8,5,9,7
Hotwells and Harbourside,4,1,3,1,1,1,1,2,6,9,2,4,4,1,3,1
St George Central,4,8,3,9,1,1,1,1,4,5,8,5,5,6,3,2
Stockwood,1,8,8,7,8,8,9,9,9,8,9,9,9,9,9,4
Southmead,3,2,9,1,1,5,2,3,3,3,1,2,8,1,4,7
Stoke Bishop,1,9,7,2,2,2,1,1,4,2,6,5,4,8,8,4
Westbury-on-Trym and Henleaze,1,5,9,4,6,3,3,1,1,2,2,2,3,1,6,3
Windmill Hill,3,9,8,8,1,1,4,4,4,5,9,9,3,2,5,5
Southville,1,6,5,5,1,1,8,6,1,1,1,1,1,1,8,8
St George Troopers Hill,5,1,5,1,1,1,3,5,6,1,4,7,6,1,6,5
St George West,4,7,9,8,9,2,5,5,7,8,7,8,7,6,6,2
