,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ashley,1,5,9,3,6,2,1,2,6,5,6,2,3,6,6,5
Bedminster,3,1,2,8,8,3,1,3,1,1,1,1,9,1,4,1
Avonmouth and Lawrence Weston,2,9,9,3,1,2,2,3,2,6,1,1,5,1,1,1
Bishopsworth,3,8,6,7,1,5,7,7,7,8,3,7,5,3,1,2
Bishopston and Ashley Down,1,6,6,6,6,3,3,6,3,1,2,4,2,4,5,2
Brislington East,5,3,7,5,3,5,1,1,9,2,2,1,5,3,2,1
Easton,2,9,4,7,5,8,6,7,2,7,1,1,1,1,6,8
Clifton,3,8,3,2,7,4,3,4,1,1,4,1,4,7,4,4
Frome Vale,3,1,1,1,3,7,3,3,1,3,4,3,1,5,5,4
Filwood,4,7,1,5,7,9,9,7,6,5,9,6,9,8,8,8
Cotham,4,3,3,6,6,6,4,1,6,4,5,8,1,1,5,3
Clifton Down,2,5,7,1,7,3,1,4,3,4,4,3,3,2,1,1
Brislington West,5,5,2,3,2,4,3,3,4,3,7,3,6,1,1,1
Eastville,3,3,1,4,9,9,3,9,3,8,1,1,5,5,6,5
Central,2,7,8,3,3,3,3,1,5,5,4,3,1,5,3,6
Hartcliffe and Withywood,3,5,6,7,9,9,9,5,4,8,8,1,1,1,1,6
Lockleaze,5,1,3,2,9,4,6,2,4,5,1,4,8,6,9,8
Hillfields,5,3,3,7,4,4,3,2,3,4,3,7,4,4,1,8
Henbury and Brentry,1,8,5,7,8,9,9,1,1,5,3,5,1,5,7,5
Redland,1,1,2,2,2,5,1,7,7,7,7,9,8,1,1,2
Horfield,3,7,6,6,2,1,5,5,3,1,5,3,8,3,3,4
Knowle,5,1,2,9,5,3,5,3,3,1,5,9,1,5,5,3
Lawrence Hill,2,9,9,3,3,7,1,4,4,6,1,1,1,3,3,1
Hengrove and Whitchurch Park,4,9,4,3,4,6,2,1,1,2,2,2,2,1,2,2
Hotwells and Harbourside,4,5,5,9,2,5,2,2,3,1,3,5,5,5,5,8
St George Central,4,2,1,2,1,1,3,3,2,4,4,2,2,3,4,8
Stockwood,1,9,9,6,7,7,7,5,1,1,2,3,1,6,2,6
Southmead,3,2,1,2,6,1,2,2,2,1,1,8,2,1,1,1
Stoke Bishop,1,6,4,5,3,8,2,3,2,1,2,5,7,4,5,1
Westbury-on-Trym and Henleaze,1,3,2,3,7,8,8,9,8,8,7,9,8,5,8,8
Windmill Hill,3,8,7,5,9,8,3,8,4,5,1,1,3,1,1,2
Southville,1,1,6,6,2,6,3,5,5,5,4,4,2,4,4,3
St George Troopers Hill,5,9,9,6,9,6,8,1,9,9,6,1,3,6,1,6
St George West,4,9,2,4,9,9,9,2,3,4,2,2,3,2,1,1
