,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ashley,4,4,7,7,8,2,5,4,4,6,6,8,4,7,7,7
Bedminster,4,5,5,9,4,5,4,9,4,4,1,8,1,1,1,2
Avonmouth and Lawrence Weston,5,8,5,1,4,8,7,2,8,1,4,2,2,5,5,4
Bishopsworth,5,1,1,1,1,7,6,5,6,6,3,6,1,1,2,1
Bishopston and Ashley Down,5,9,8,6,6,8,1,2,4,4,1,1,3,3,4,9
Brislington East,4,1,1,1,1,1,5,5,5,8,7,8,8,1,1,8
Easton,1,3,9,1,1,2,4,3,3,7,4,3,8,2,2,3
Clifton,4,6,8,6,8,8,8,8,8,8,9,9,5,4,8,8
Frome Vale,5,1,5,9,4,2,9,2,9,3,4,9,4,7,2,5
Filwood,4,8,1,1,1,2,1,1,6,7,1,6,6,5,5,7
Cotham,1,4,8,9,9,9,1,7,1,1,7,7,1,4,9,8
Clifton Down,3,2,1,2,5,7,5,5,9,8,9,5,9,8,9,8
Brislington West,5,9,9,7,2,2,1,2,1,1,2,3,1,4,2,2
Eastville,3,1,8,9,9,7,7,7,7,4,6,6,5,7,9,9
Central,1,5,6,6,5,2,8,8,2,2,2,2,9,9,9,3
Hartcliffe and Withywood,5,1,2,1,1,1,1,1,1,1,1,1,4,1,1,9
Lockleaze,4,6,7,6,7,7,7,8,9,8,6,3,2,3,8,6
Hillfields,5,4,2,2,5,7,4,3,1,1,1,5,8,6,9,2
Henbury and Brentry,5,3,9,8,2,3,3,4,5,3,9,5,6,8,3,4
Redland,4,6,6,6,7,5,7,9,8,6,9,8,4,4,4,4
Horfield,2,2,1,3,4,4,6,2,5,3,1,3,1,4,3,3
Knowle,3,8,3,8,9,9,5,8,6,7,3,6,6,6,5,1
Lawrence Hill,1,5,3,3,3,1,2,1,2,4,4,9,5,4,5,5
Hengrove and Whitchurch Park,5,5,7,4,9,9,2,1,1,4,2,2,3,2,7,8
Hotwells and Harbourside,5,1,7,7,8,8,8,6,6,1,6,3,3,8,9,6
St George Central,3,9,6,9,6,5,6,6,7,1,1,1,1,6,7,1
Stockwood,5,6,3,1,3,6,6,6,3,4,1,1,7,8,8,6
Southmead,1,3,6,7,2,9,3,2,2,2,2,2,2,2,8,6
Stoke Bishop,2,1,3,7,7,9,8,8,8,7,8,4,9,8,4,9
Westbury-on-Trym and Henleaze,5,8,9,8,5,3,3,3,3,4,2,4,2,2,6,2
Windmill Hill,5,1,1,5,1,1,4,5,6,6,3,3,5,4,8,8
Southville,5,1,1,1,9,9,3,1,9,9,9,8,9,9,5,5
St George Troopers Hill,4,6,9,9,5,7,6,6,9,6,7,9,9,5,9,9
St George West,1,6,6,7,5,1,8,4,5,7,5,7,6,5,6,3
