,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ashley,5,9,2,6,7,5,9,4,7,5,7,5,5,6,5,9
Bedminster,4,1,9,7,4,6,1,7,1,1,1,1,4,1,1,1
Avonmouth and Lawrence Weston,1,7,4,4,3,8,9,4,8,9,4,4,9,3,3,3
Bishopsworth,5,4,8,3,4,4,3,3,8,8,7,6,4,9,5,1
Bishopston and Ashley Down,4,7,9,5,2,3,1,9,3,3,4,3,4,3,9,9
Brislington East,4,9,9,8,4,6,3,6,4,5,7,9,9,1,4,7
Easton,4,9,2,7,6,6,6,6,4,6,2,2,2,2,6,6
Clifton,1,9,6,5,3,9,1,3,8,8,2,9,1,6,2,2
Frome Vale,4,3,4,3,1,3,1,2,3,1,2,1,5,3,1,6
Filwood,5,9,5,5,8,1,2,6,7,6,8,3,8,7,4,9
Cotham,2,7,8,5,2,2,5,5,1,6,1,9,6,6,5,6
Clifton Down,2,9,8,5,6,4,5,9,4,4,4,9,5,9,9,9
Brislington West,3,7,6,6,2,2,2,2,3,4,3,2,7,3,3,3
Eastville,4,9,1,7,5,7,7,9,5,5,9,1,8,9,8,8
Central,2,8,4,1,1,1,1,1,1,1,1,5,3,4,6,7
Hartcliffe and Withywood,5,7,3,2,3,7,4,8,7,7,7,3,3,2,2,6
Lockleaze,1,3,6,7,5,7,3,7,4,3,9,6,6,8,3,5
Hillfields,5,9,9,2,8,9,7,7,7,7,2,9,6,6,4,6
Henbury and Brentry,5,8,2,1,6,6,9,1,1,9,3,3,3,3,9,8
Redland,5,2,2,2,2,7,1,8,3,3,3,7,3,7,3,3
Horfield,5,5,1,6,6,5,6,5,7,6,5,7,3,1,1,2
Knowle,5,2,1,8,4,4,4,3,1,1,1,4,1,4,4,3
Lawrence Hill,1,9,7,5,6,2,1,2,1,1,5,5,6,4,2,5
Hengrove and Whitchurch Park,5,8,3,2,2,7,1,1,1,1,3,3,1,2,1,1
Hotwells and Harbourside,5,2,2,4,7,6,6,8,5,8,9,6,6,6,6,9
St George Central,5,2,1,1,1,1,2,7,7,1,1,6,6,1,7,8
Stockwood,5,1,7,8,7,8,6,4,7,1,3,2,5,5,2,8
Southmead,4,1,2,4,3,1,4,1,1,1,5,3,5,5,5,6
Stoke Bishop,5,8,8,9,7,9,1,5,5,5,3,1,2,3,2,1
Westbury-on-Trym and Henleaze,2,2,2,6,3,8,4,5,8,7,9,9,5,4,3,5
Windmill Hill,4,9,9,5,8,8,6,7,6,7,1,1,9,1,1,1
Southville,5,5,9,8,7,8,7,2,2,2,7,8,9,9,9,3
St George Troopers Hill,1,2,2,2,6,9,9,8,9,9,9,8,7,8,8,9
St George West,5,4,2,5,6,6,9,1,4,8,9,9,7,1,7,7
