,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ashley,4.0,4.0,6.0,7.0,2.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0
Bedminster,6.0,5.0,6.0,4.0,6.0,4.0,8.0,4.0,1.0,4.0,7.0,1.0,6.0,1.0,2.0
Avonmouth and Lawrence Weston,8.0,7.0,2.0,1.0,4.0,7.0,2.0,8.0,6.0,5.0,2.0,2.0,5.0,2.0,4.0
Bishopsworth,1.0,1.0,5.0,1.0,7.0,7.0,5.0,6.0,6.0,6.0,3.0,1.0,3.0,2.0,2.0
Bishopston and Ashley Down,9.0,8.0,3.0,5.0,8.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,5.0,8.0
Brislington East,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,9.0,8.0,8.0,9.0,1.0,8.0,8.0
Easton,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0
Clifton,6.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,8.0,5.0,8.0,8.0
Frome Vale,1.0,6.0,8.0,5.0,2.0,9.0,3.0,3.0,9.0,2.0,9.0,1.0,2.0,2.0,5.0
Filwood,2.0,4.0,6.0,1.0,1.0,6.0,1.0,8.0,7.0,2.0,7.0,6.0,5.0,6.0,6.0
Cotham,4.0,4.0,8.0,6.0,9.0,1.0,7.0,1.0,1.0,7.0,1.0,1.0,4.0,9.0,8.0
Clifton Down,1.0,1.0,2.0,5.0,7.0,5.0,9.0,8.0,8.0,9.0,4.0,9.0,8.0,7.0,8.0
Brislington West,9.0,9.0,7.0,8.0,2.0,2.0,5.0,7.0,1.0,1.0,4.0,1.0,4.0,2.0,2.0
Eastville,1.0,7.0,9.0,2.0,5.0,7.0,8.0,9.0,8.0,6.0,6.0,6.0,9.0,9.0,9.0
Central,5.0,6.0,6.0,2.0,2.0,8.0,7.0,6.0,2.0,2.0,2.0,9.0,9.0,9.0,3.0
Hartcliffe and Withywood,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,9.0
Lockleaze,6.0,6.0,6.0,7.0,7.0,7.0,8.0,9.0,6.0,6.0,8.0,9.0,9.0,8.0,7.0
Hillfields,4.0,4.0,2.0,2.0,7.0,9.0,6.0,1.0,6.0,1.0,1.0,9.0,9.0,9.0,2.0
Henbury and Brentry,6.0,8.0,8.0,4.0,3.0,4.0,4.0,5.0,1.0,5.0,2.0,3.0,8.0,7.0,4.0
Redland,8.0,8.0,8.0,8.0,9.0,7.0,3.0,8.0,6.0,6.0,6.0,4.0,5.0,5.0,4.0
Horfield,2.0,8.0,6.0,1.0,4.0,3.0,1.0,3.0,3.0,1.0,6.0,7.0,1.0,4.0,3.0
Knowle,8.0,9.0,8.0,8.0,6.0,5.0,7.0,7.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0
Lawrence Hill,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,4.0,9.0,4.0,5.0,5.0,5.0
Hengrove and Whitchurch Park,7.0,9.0,9.0,8.0,8.0,1.0,5.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0
Hotwells and Harbourside,1.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,1.0,6.0,3.0,3.0,8.0,9.0,6.0
St George Central,1.0,6.0,7.0,6.0,6.0,6.0,6.0,9.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0
Stockwood,6.0,2.0,6.0,2.0,5.0,6.0,6.0,4.0,4.0,1.0,8.0,8.0,7.0,9.0,6.0
Southmead,3.0,6.0,8.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0,4.0,2.0,9.0,8.0
Stoke Bishop,1.0,1.0,7.0,8.0,8.0,8.0,6.0,8.0,7.0,8.0,4.0,9.0,8.0,8.0,9.0
Westbury-on-Trym and Henleaze,9.0,3.0,1.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,6.0,2.0,2.0,6.0,5.0
Windmill Hill,1.0,1.0,9.0,1.0,2.0,2.0,5.0,6.0,6.0,3.0,3.0,5.0,5.0,8.0,8.0
Southville,1.0,1.0,5.0,9.0,9.0,4.0,1.0,9.0,9.0,9.0,8.0,9.0,9.0,5.0,8.0
St George Troopers Hill,5.0,9.0,9.0,6.0,6.0,6.0,9.0,9.0,5.0,7.0,9.0,9.0,8.0,9.0,9.0
St George West,2.0,6.0,6.0,5.0,6.0,6.0,8.0,8.0,2.0,5.0,6.0,6.0,6.0,5.0,3.0
