,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ashley,-0.238108988,0.458337581,0.22170199,0.381071672,0.406509879,0.514697539,0.33105483,0.289732314,0.394391044,0.383785135,0.631473186,0.651956784,0.712582056,0.624465073,0.769837571,0.746947072
Bedminster,0.556562817,0.958676946,0.977652505,0.977186612,0.975545098,0.97521401,0.971699548,0.970632925,0.955784771,0.956936503,0.965164208,0.969035448,0.977537626,0.974082687,0.976118554,0.964680928
Avonmouth and Lawrence Weston,0.667111235,0.945111644,0.977291287,0.980560638,0.979958339,0.981285806,0.98156761,0.980249052,0.980910572,0.97803366,0.982980814,0.981268347,0.980280864,0.969990032,0.96905409,0.970813602
Bishopsworth,-0.678092637,0.969826908,0.959501139,0.9578767,0.950938831,0.944846153,0.94060171,0.936664347,0.93677907,0.935318108,0.936257468,0.935605984,0.918555578,0.91614866,0.917738647,0.919977374
Bishopston and Ashley Down,0.597164239,0.854612649,0.949043762,0.942570537,0.924351041,0.909686149,0.912284871,0.909717856,0.903907864,0.891901521,0.90924021,0.909896488,0.891294696,0.899105365,0.903410997,0.898942203
Brislington East,0.752123717,0.967983582,0.977664236,0.977438987,0.975889738,0.981943936,0.978472134,0.956450619,0.977493302,0.965405777,0.978279617,0.981041382,0.981771433,0.974044718,0.975235712,0.97677818
Easton,-2.221919822,0.963059071,0.936079597,0.958283553,0.964568195,0.963084937,0.972782281,0.971544148,0.96334717,0.966448742,0.971356569,0.953569433,0.959993168,0.96439752,0.973649577,0.952697931
Clifton,-0.02214891,0.123514091,0.724400597,0.711744318,0.715970089,0.740052243,0.721940234,0.730905938,0.770083605,0.768541683,0.642206625,0.645064884,0.593632371,0.628809939,0.645340729,0.682313976
Frome Vale,0.852741568,0.960459096,0.959152464,0.958773266,0.957727716,0.960937884,0.967278653,0.953661661,0.944856141,0.949146277,0.943242831,0.948065068,0.942979177,0.925880134,0.933962857,0.939088194
Filwood,0.373362811,0.911002746,0.9564245,0.953507222,0.95201026,0.952516878,0.952082594,0.950042268,0.956750527,0.953480749,0.953409472,0.958163722,0.964321117,0.964338219,0.965356798,0.962144339
Cotham,0.041520273,0.877820504,0.877464909,0.638971573,0.729508978,0.698248691,0.700968452,0.649341106,0.604221446,0.582486968,0.478998891,0.409065989,0.434145386,0.447828888,0.434988303,0.50134551
Clifton Down,0.08725143,0.472922807,0.560797607,0.626799456,0.747684967,0.595404109,0.454787028,0.458028513,0.727881458,0.685354864,0.759022853,0.740470024,0.864365452,0.879377548,0.869824074,0.834548452
Brislington West,0.332217919,0.754450743,0.872075112,0.876897838,0.929521072,0.926871932,0.912393043,0.914038026,0.912802199,0.924599048,0.919026012,0.920379097,0.922687085,0.922492632,0.924010992,0.924428286
Eastville,0.604329256,0.909156811,0.968219858,0.973670574,0.970222153,0.96569383,0.976702684,0.974926699,0.974701153,0.976050246,0.9845796,0.971353211,0.965608591,0.968202879,0.953642135,0.970498927
Central,-0.132664003,0.560921195,0.546762017,0.494129096,0.55941408,0.581556289,0.602163861,0.63692105,0.61301898,0.689486475,0.656247695,0.696516833,0.507787977,0.452402501,0.208535634,0.372528244
