,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ashley,0.068209551,0.432612733,0.867432243,0.890012396,0.885261234,0.853440245,0.825590231,0.840612463,0.873636298,0.850021867,0.869796167,0.891467226,0.901517096,0.873933845,0.837531171,0.843180827
Bedminster,0.043177709,0.96497217,0.97752215,0.974136054,0.965651228,0.95074485,0.954340211,0.952333178,0.954999369,0.954927752,0.958138923,0.948878258,0.967596775,0.920634765,0.889544033,0.903060709
Avonmouth and Lawrence Weston,0.037173325,-0.178116213,0.963679397,0.98083355,0.975901351,0.972401295,0.972502363,0.959749143,0.948405747,0.974300211,0.972873608,0.971823509,0.969027737,0.975271608,0.977820304,0.969952769
Bishopsworth,0.152419675,0.84052823,0.919951837,0.918385771,0.907079176,0.887437394,0.90704099,0.879676549,0.92819467,0.934259129,0.928207171,0.912791516,0.917310552,0.915873549,0.92067467,0.930285365
Bishopston and Ashley Down,0.045818963,0.971420646,0.975355061,0.938959525,0.957440941,0.977177818,0.977963355,0.972551487,0.95476227,0.958586896,0.956799943,0.948217479,0.953381268,0.954602276,0.938798956,0.945493054
Brislington East,0.038525672,0.788988592,0.970336741,0.982118629,0.979731836,0.98013845,0.982288678,0.980126855,0.980619632,0.977640876,0.973515556,0.980581479,0.978821751,0.962833853,0.979984661,0.971421813
Easton,0.280771506,0.181157472,0.498066466,0.692288117,0.671229651,0.665777088,0.637310738,0.667246741,0.808960435,0.687756294,0.725193571,0.720063667,0.737150309,0.725868681,0.782596669,0.77926121
Clifton,0.015226797,0.60773499,0.699464233,0.693624038,0.710705886,0.714825361,0.565071901,0.599502462,0.744118655,0.740875412,0.707804855,0.748540268,0.766303999,0.772998463,0.76900034,0.761662987
Frome Vale,0.016320166,0.949122535,0.958765299,0.960236195,0.967354258,0.967222404,0.965323813,0.961601813,0.959311773,0.961746071,0.962904681,0.959102115,0.960145905,0.955421034,0.949721949,0.955609046
Filwood,0.024154446,0.549711001,0.729070175,0.80952427,0.825345661,0.818164708,0.826331131,0.793373186,0.959837522,0.77174494,0.798850067,0.869182041,0.917898021,0.911995864,0.861676506,0.879800877
Cotham,0.039543328,0.369247266,0.234435052,-0.384688875,-0.420217966,-0.512710567,-0.454002281,-0.422106405,-0.291081452,-0.374707388,-0.294136124,0.065095016,0.355644476,0.326289706,0.327333078,0.406149941
Clifton Down,0.03814505,0.093535777,0.798407741,0.622075547,0.52985227,0.398727125,0.382358204,0.537835799,-0.175220883,0.081357675,-0.308608405,0.389221265,0.530070087,0.584608005,0.537983429,0.535603685
Brislington West,0.16495645,0.907277061,0.902905237,0.910225908,0.912724083,0.924523392,0.915711047,0.922700223,0.921985725,0.921280479,0.94373196,0.943406073,0.940513911,0.941366387,0.941008289,0.939744102
