,0
Ashley,4.0
Bedminster,4.0
Avonmouth and Lawrence Weston,5.0
Bishopsworth,5.0
Bishopston and Ashley Down,5.0
Brislington East,4.0
Easton,1.0
Clifton,4.0
Frome Vale,5.0
Filwood,4.0
Cotham,1.0
Clifton Down,3.0
Brislington West,5.0
Eastville,3.0
Central,1.0
Hartcliffe and Withywood,5.0
Lockleaze,4.0
Hillfields,5.0
Henbury and Brentry,5.0
Redland,4.0
Horfield,2.0
Knowle,3.0
Lawrence Hill,2.0
Hengrove and Whitchurch Park,5.0
Hotwells and Harbourside,5.0
St George Central,3.0
Stockwood,5.0
Southmead,1.0
Stoke Bishop,2.0
Westbury-on-Trym and Henleaze,5.0
Windmill Hill,5.0
Southville,5.0
St George Troopers Hill,4.0
St George West,2.0
