,0
Ashley,4.0
Bedminster,4.0
Avonmouth and Lawrence Weston,3.0
Bishopsworth,2.0
Bishopston and Ashley Down,3.0
Brislington East,5.0
Easton,1.0
Clifton,4.0
Frome Vale,5.0
Filwood,3.0
Cotham,2.0
Clifton Down,4.0
Brislington West,3.0
Eastville,2.0
Central,2.0
Hartcliffe and Withywood,2.0
Lockleaze,1.0
Hillfields,3.0
Henbury and Brentry,1.0
Redland,3.0
Horfield,5.0
Knowle,2.0
Lawrence Hill,3.0
Hengrove and Whitchurch Park,2.0
Hotwells and Harbourside,5.0
St George Central,2.0
Stockwood,4.0
Southmead,1.0
Stoke Bishop,5.0
Westbury-on-Trym and Henleaze,4.0
Windmill Hill,3.0
Southville,4.0
St George Troopers Hill,3.0
St George West,2.0
