,0
Ashley,-0.23810898818915271
Bedminster,0.5565628170542636
Avonmouth and Lawrence Weston,0.6671112353303943
Bishopsworth,-0.678092637432919
Bishopston and Ashley Down,0.597164239486702
Brislington East,0.7521237166504937
Easton,-2.2219198216464453
Clifton,-0.022148910435203728
Frome Vale,0.8527415682264698
Filwood,0.37336281119839887
Cotham,0.04152027303015149
Clifton Down,0.08725142955247855
Brislington West,0.33221791943641354
Eastville,0.6043292564415117
Central,-0.13266400276254564
Hartcliffe and Withywood,0.26223337085128573
Lockleaze,-1.581962936504215
Hillfields,0.2652616344160589
Henbury and Brentry,-1.0947872742941862
Redland,0.5372044151953486
Horfield,-1.7604867568186586
Knowle,-0.1727764344154954
Lawrence Hill,0.2543933558349154
Hengrove and Whitchurch Park,0.5530783170030236
Hotwells and Harbourside,-5.0714630344535
St George Central,0.40287976123435776
Stockwood,-2.2250099120322075
Southmead,-3.2913208088382966
Stoke Bishop,-5.102692166140867
Westbury-on-Trym and Henleaze,-2.7027228189806065
Windmill Hill,0.7479591740475169
Southville,-2.061588409581525
St George Troopers Hill,-2.5997339901919885
St George West,0.6264645559663351
