Date,DetachedPrice,Detached1m%Change,Detached12m%Change,SemiDetachedPrice,SemiDetached1m%Change,SemiDetached12m%Change,TerracedPrice,Terraced1m%Change,Terraced12m%Change,FlatPrice,Flat1m%Change,Flat12m%Change
01/01/1995,85181.06169,0.146006759,-15.08124975,51789.90045,0.577270178,-13.76134176,42887.45948,0.645392042,-15.48201232,38607.68916,0.583154272,-11.36974286
01/02/1995,83991.02674,-1.397065183,-14.07268687,51626.77091,-0.314983312,-12.81780247,42715.02391,-0.402065234,-14.44348071,38371.16493,-0.612635044,-10.56159879
01/03/1995,83994.2528,0.003840959,-13.16172684,51766.0861,0.269850685,-11.96557344,42887.31989,0.403361537,-13.50545215,38462.67709,0.238491997,-9.83166221
01/04/1995,84052.38045,0.069204318,-12.15316396,52033.643,0.516857502,-11.02203416,43144.24647,0.599073536,-12.46692053,38798.06763,0.871989597,-9.023518138
01/05/1995,84753.90221,0.834624497,-11.17713536,52427.76154,0.757430229,-10.10893162,43511.50687,0.851238404,-11.46188994,39254.42103,1.176227145,-8.241443229
01/06/1995,85461.80974,0.835250663,-10.16857248,52857.96931,0.820572453,-9.165392339,43788.30096,0.636139985,-10.42335832,39859.40877,1.54119643,-7.433299157
01/07/1995,85262.85898,-0.232794921,-9.192543879,52618.72612,-0.452615187,-8.252289806,43602.03993,-0.425367118,-9.418327721,39461.31648,-0.998741084,-6.651224248
01/08/1995,85708.69503,0.52289596,-8.183980995,52651.13792,0.061597469,-7.308750521,43627.33138,0.058005206,-8.379796104,39239.38866,-0.562393346,-5.843080176
01/09/1995,85771.88974,0.073731967,-7.175418111,52532.11474,-0.226060027,-6.365211237,43612.11446,-0.034879319,-7.341264486,38897.33449,-0.871711259,-5.034936104
01/10/1995,85490.09683,-0.328537594,-6.199389514,52324.54613,-0.395127095,-5.452108703,43260.10509,-0.80713668,-6.336233889,38892.10821,-0.013436086,-4.252861196
01/11/1995,85061.88118,-0.500895039,-5.19082663,52183.04351,-0.270432575,-4.508569419,42999.65443,-0.602057403,-5.297702272,39116.77887,0.577676745,-3.444717123
01/12/1995,83323.54733,-2.043610867,-4.214798033,51234.93062,-1.816898402,-3.595466885,42132.45764,-2.016752931,-4.292671675,38541.64294,-1.47030495,-2.662642215
01/01/1996,83340.2547,0.020051199,-2.161051946,51225.08085,-0.019224726,-1.090597971,42171.86742,0.093537813,-1.66853451,38399.08744,-0.369873951,-0.540311334
01/02/1996,82546.96431,-0.951869414,-1.719305605,50877.68326,-0.678178706,-1.450967467,41909.29091,-0.622634296,-1.886298856,38021.95238,-0.982145891,-0.910091072
01/03/1996,82972.58903,0.515615231,-1.216349615,51221.46699,0.67570634,-1.052077054,42091.00182,0.43358146,-1.856768087,38119.93605,0.257702887,-0.89110031
01/04/1996,83023.80797,0.061729954,-1.223727959,51503.52771,0.550668954,-1.018793354,42460.85067,0.878688633,-1.583979001,38731.06546,1.60317533,-0.172694599
01/05/1996,84091.80285,1.286371834,-0.781202209,52194.87438,1.342328773,-0.444205818,43292.08742,1.957654488,-0.504279135,39251.86048,1.344644178,-0.006522968
01/06/1996,85843.57677,2.08316847,0.446710686,53266.66518,2.053440725,0.773196315,44362.97798,2.473640388,1.312398523,40281.08197,2.622096069,1.057901296
01/07/1996,88402.03845,2.980376365,3.681766597,54661.77724,2.619109066,3.882745317,45421.13185,2.385218311,4.172033983,40919.75401,1.585538436,3.695866384
01/08/1996,89420.52463,1.152107122,4.330750335,55014.85369,0.645929317,4.489391603,45554.51343,0.293655348,4.417373219,41029.86284,0.26908478,4.562951258
01/09/1996,90808.07883,1.551717807,5.871607947,55546.3196,0.966040769,5.737832699,45962.04508,0.894602134,5.388251974,41250.52038,0.537797409,6.049735585
01/10/1996,89900.67495,-0.999254574,5.159168463,54912.39041,-1.141262269,4.945755827,45364.23872,-1.300652225,4.863912431,40707.72035,-1.315862251,4.668330474
01/11/1996,90788.65017,0.987729203,6.732473946,55622.96874,1.294021845,6.592036422,46025.0169,1.456605909,7.035783232,41401.84177,1.705134602,5.841643831
01/12/1996,89767.11141,-1.12518333,7.733185019,55297.6293,-0.584901259,7.929548502,45726.55578,-0.648475866,8.530473515,41138.26831,-0.636622571,6.737194288
01/01/1997,91063.25657,1.443897591,9.266832573,56168.24157,1.574411559,9.649883678,46553.59709,1.808667418,10.39017228,41785.65195,1.573677437,8.819388001
01/02/1997,91139.01613,0.083194432,10.40868298,55958.38112,-0.373628304,9.986103007,46301.24357,-0.542070948,10.4796635,41624.53949,-0.385568851,9.475018734
01/03/1997,92550.75803,1.548998403,11.54377502,56623.4346,1.188478779,10.54629617,47005.39977,1.520814885,11.67564975,42094.5381,1.129138269,10.42657061
01/04/1997,92775.4755,0.242804563,11.74562787,56813.43101,0.335543779,10.30978565,47165.77394,0.341182439,11.08061472,42242.67721,0.351920034,9.066654138
01/05/1997,94309.1404,1.653093008,12.15021821,57967.03249,2.030508384,11.05886006,48077.35396,1.932715064,11.05344377,42689.89908,1.058696788,8.758918831
01/06/1997,95624.88387,1.395138866,11.39433778,58670.16561,1.212987943,10.14424388,48575.33267,1.035786442,9.495202728,42888.47363,0.46515582,6.472993105
01/07/1997,97437.2265,1.895262568,10.22056529,59719.32645,1.78823569,9.252441949,49479.62109,1.861620637,8.935244617,43539.19875,1.517249437,6.401418605
01/08/1997,98907.21319,1.508649972,10.60907281,60492.40765,1.29452431,9.956500098,50112.20628,1.278476226,10.00492049,44117.77634,1.328865958,7.526014696
