Date,NewPrice,New1m%Change,New12m%Change,NewSalesVolume,OldPrice,Old1m%Change,Old12m%Change,OldSalesVolume
01/01/1995,46270.35777,0.540529543,-8.26205085,14,43930.81312,0.593155588,-14.64063093,324
01/02/1995,46511.48585,0.521128622,-7.55640257,20,43691.00877,-0.545868219,-13.65537345,253
01/03/1995,46770.58318,0.557060967,-6.919042834,53,43822.70241,0.301420457,-12.76546347,418
01/04/1995,47109.37347,0.724366169,-6.213394555,41,44081.09993,0.589643058,-11.78020598,359
01/05/1995,47339.12812,0.487704762,-5.530509123,21,44484.4391,0.914993436,-10.826731,421
01/06/1995,47738.67675,0.844013482,-4.824860844,37,44865.37461,0.85633429,-9.841473519,458
01/07/1995,47341.1271,-0.832762178,-4.141975412,28,44639.34729,-0.503790105,-8.887998537,407
01/08/1995,47127.79719,-0.45062281,-3.436327133,23,44640.27372,0.002075368,-7.902741055,489
01/09/1995,46557.71896,-1.209643265,-2.730678853,22,44571.15335,-0.154838582,-6.917483573,478
01/10/1995,46654.64787,0.20819085,-2.047793422,30,44307.79291,-0.590876449,-5.964008591,372
01/11/1995,46851.30384,0.421514201,-1.342145142,21,44150.55651,-0.354873009,-4.978751109,436
01/12/1995,46565.65624,-0.609689751,-0.659259711,57,43284.65471,-1.961247753,-4.025276127,379
01/01/1996,46820.70788,0.547724791,1.189422639,20,43257.17644,-0.06348271,-1.53340362,355
01/02/1996,46838.28632,0.037544154,0.70262316,14,42926.14803,-0.765256633,-1.750613604,331
01/03/1996,47255.83055,0.891459228,1.037505481,35,43115.41686,0.440917343,-1.61397064,479
01/04/1996,47628.4213,0.788454562,1.101793117,22,43502.76639,0.898401452,-1.311976205,472
01/05/1996,47982.98855,0.744444676,1.360101989,44,44244.51989,1.705072018,-0.539332902,526
01/06/1996,49017.3946,2.155776632,2.678578337,38,45302.32304,2.390811685,0.973910133,492
01/07/1996,49848.10222,1.694720052,5.295554345,57,46370.06404,2.356923284,3.877110335,630
01/08/1996,49986.61525,0.277870219,6.066097361,35,46569.02293,0.429067548,4.320648268,670
