Date,AveragePrice,1m%Change,12m%Change,SalesVolume
01/01/1995,44387.42392,0.589460688,-14.27555927,338
01/02/1995,44176.75018,-0.474624845,-13.3044601,273
01/03/1995,44317.55048,0.318720381,-12.42733827,471
01/04/1995,44582.93597,0.598827066,-11.4562391,400
01/05/1995,44978.02464,0.88618808,-10.5164657,442
01/06/1995,45362.81694,0.855511784,-9.545366533,495
01/07/1995,45124.11408,-0.526208186,-8.605593142,435
01/08/1995,45111.20765,-0.028602076,-7.634493971,512
01/09/1995,45009.26019,-0.225991408,-6.6633948,500
01/10/1995,44767.23994,-0.537712133,-5.723621409,402
01/11/1995,44631.66553,-0.3028429,-4.752522238,457
01/12/1995,43797.03619,-1.870038544,-3.812748846,436
01/01/1996,43787.17907,-0.022506365,-1.352285854,375
01/02/1996,43474.80038,-0.71340216,-1.58895752,345
01/03/1996,43678.9459,0.469572058,-1.440974464,514
01/04/1996,44068.70291,0.89232238,-1.153430236,494
01/05/1996,44796.56007,1.651641905,-0.403451609,570
01/06/1996,45861.81383,2.377981165,1.100013028,530
01/07/1996,46925.9736,2.320361263,3.993118871,687
01/08/1996,47123.37975,0.420675672,4.460470486,705
01/09/1996,47537.33164,0.87844269,5.616780703,661
01/10/1996,46943.78627,-1.248587884,4.861917629,581
01/11/1996,47619.36898,1.439131267,6.694133882,710
01/12/1996,47307.38381,-0.65516444,8.015034638,601
01/01/1997,48105.36061,1.686791241,9.861748668,586
01/02/1997,47898.52179,-0.429970417,10.17536911,509
01/03/1997,48550.05265,1.360231658,11.1520703,562
01/04/1997,48713.09808,0.335829559,10.53898768,640
01/05/1997,49570.45174,1.760006427,10.65682645,708
01/06/1997,50058.7028,0.984963913,9.151162181,704
01/07/1997,50947.53557,1.775580918,8.570012867,865
01/08/1997,51613.49979,1.307156889,9.528433794,826
01/09/1997,52693.44332,2.092366397,10.84644742,722
01/10/1997,52800.48066,0.203132191,12.47597362,708
01/11/1997,52874.67695,0.140521993,11.03607227,616
01/12/1997,52189.61874,-1.295626283,10.3202387,712
01/01/1998,52464.18977,0.526102771,9.061005056,549
01/02/1998,52558.10749,0.179012997,9.728036526,515
01/03/1998,52653.98272,0.182417587,8.452987886,594
01/04/1998,53860.66383,2.291718592,10.56710814,661
01/05/1998,54695.97795,1.550879723,10.33988199,731
01/06/1998,56328.78979,2.985250305,12.52546839,730
01/07/1998,57517.232,2.10983088,12.89502299,973
01/08/1998,58434.10051,1.594076207,13.21476114,794
01/09/1998,58613.94162,0.307767399,11.23574002,742
01/10/1998,57485.49837,-1.925213046,8.873058812,735
01/11/1998,58090.53398,1.052501294,9.864565288,661
01/12/1998,58929.33408,1.443953161,12.91390032,694
01/01/1999,60107.06068,1.998540486,14.56778604,538
01/02/1999,59745.87662,-0.600901222,13.67585226,548
01/03/1999,59799.8389,0.090319675,13.5713498,722
01/04/1999,61397.234,2.671236454,13.99271682,720
01/05/1999,62814.31452,2.308052711,14.84265732,748
01/06/1999,64359.11017,2.459305115,14.25615641,804
01/07/1999,65523.89646,1.809823484,13.92046207,1056
01/08/1999,67389.13018,2.846646522,15.32500646,898
01/09/1999,69584.61472,3.257920878,18.71683221,877
01/10/1999,70290.1168,1.013876524,22.2745193,822
01/11/1999,71523.01061,1.754007342,23.12334851,819
01/12/1999,71685.42398,0.227078487,21.64641785,719
01/01/2000,71973.0935,0.401294305,19.74149573,589
01/02/2000,72552.43133,0.804936677,21.43504361,582
01/03/2000,74141.94569,2.190849199,23.98352078,733
01/04/2000,76218.02824,2.800145763,24.13918881,681
01/05/2000,78051.88988,2.406073324,24.25812568,697
01/06/2000,79728.0456,2.147488955,23.8799688,826
01/07/2000,81221.07234,1.872649368,23.95641396,759
01/08/2000,82419.45347,1.475455927,22.30377992,733
01/09/2000,83256.89805,1.016076363,19.64842858,605
01/10/2000,82215.38379,-1.25096453,16.96578059,567
01/11/2000,81478.52382,-0.896255581,13.9193151,577
01/12/2000,81448.14739,-0.037281525,13.6188403,632
01/01/2001,83609.20476,2.653292239,16.16730738,555
01/02/2001,84817.33544,1.444973288,16.90488366,523
01/03/2001,85567.44082,0.884377445,15.41029848,742
01/04/2001,86150.48185,0.681381869,13.03163285,700
01/05/2001,87163.08698,1.175391143,11.67325623,842
01/06/2001,88568.17342,1.612020048,11.08785215,900
01/07/2001,90318.48055,1.976225849,11.20079796,882
01/08/2001,92491.30441,2.405735622,12.22023506,959
01/09/2001,95355.50206,3.096720998,14.53165358,828
01/10/2001,96103.03532,0.783943501,16.89179189,734
01/11/2001,96729.13448,0.65148739,18.71733794,805
01/12/2001,96831.43785,0.105762728,18.8872196,744
01/01/2002,97875.181,1.077896991,17.0626862,579
01/02/2002,97759.08177,-0.118619685,15.25837409,594
01/03/2002,98966.77602,1.235378058,15.65938524,761
01/04/2002,100736.8084,1.788511727,16.93121878,818
01/05/2002,103698.3852,2.939915276,18.97052849,963
01/06/2002,105379.4311,1.62109164,18.9811498,788
01/07/2002,110008.5184,4.39278067,21.80067433,1027
01/08/2002,114462.0949,4.048392466,23.75443903,1049
01/09/2002,119289.3387,4.217329593,25.09958645,813
01/10/2002,120489.0101,1.005681982,25.37482268,778
01/11/2002,123301.0957,2.333893872,27.47048385,812
01/12/2002,123943.564,0.521056375,27.99930138,708
01/01/2003,125340.8748,1.127376694,28.06195967,621
01/02/2003,125153.7149,-0.149320734,28.02259661,606
01/03/2003,127224.2242,1.654372999,28.55245901,571
01/04/2003,130611.0529,2.662094224,29.65573851,630
01/05/2003,132065.7615,1.113771432,27.35565862,679
01/06/2003,132794.4501,0.551761965,26.01553146,667
01/07/2003,131889.4713,-0.681488451,19.89023509,857
01/08/2003,133465.4945,1.194957586,16.60235173,827
01/09/2003,135308.378,1.380793928,13.42872667,807
01/10/2003,137841.3752,1.872018005,14.40161641,872
01/11/2003,138356.397,0.373633705,12.2101926,844
01/12/2003,139171.1321,0.588866937,12.28588854,851
01/01/2004,138989.5462,-0.13047672,10.88924212,670
01/02/2004,138958.9294,-0.022028126,11.03060702,672
01/03/2004,137941.2504,-0.732359552,8.423730836,780
01/04/2004,138515.1934,0.416077877,6.051662804,857
01/05/2004,141339.994,2.039343474,7.02243516,909
01/06/2004,146014.0736,3.306975996,9.954951798,979
01/07/2004,149972.3799,2.71090734,13.71065363,1050
01/08/2004,153642.6173,2.447275556,15.11785709,900
01/09/2004,154167.6734,0.341738603,13.93801012,772
01/10/2004,153358.2791,-0.525009063,11.25707281,729
01/11/2004,153517.5834,0.103877191,10.9580668,646
01/12/2004,153302.3698,-0.140188271,10.15385696,639
01/01/2005,154063.4083,0.496429747,10.84532081,531
01/02/2005,152692.9315,-0.889553731,9.8834974,517
01/03/2005,152904.6977,0.138687632,10.84769591,546
01/04/2005,153179.8101,0.179924039,10.58700948,679
01/05/2005,153045.7376,-0.087526212,8.281975459,708
01/06/2005,152770.1197,-0.180088585,4.626982776,786
01/07/2005,154238.2394,0.960999265,2.844430106,932
01/08/2005,155530.318,0.837716096,1.228630911,805
01/09/2005,156021.0797,0.315540867,1.202201621,835
01/10/2005,155252.4911,-0.492618444,1.235154647,748
01/11/2005,154587.8969,-0.428073084,0.697192783,791
01/12/2005,156837.4151,1.455170984,2.305930028,924
01/01/2006,156337.7826,-0.318567183,1.476258575,707
01/02/2006,157085.6778,0.478384159,2.876849776,612
01/03/2006,156737.9081,-0.221388552,2.506927778,807
01/04/2006,159214.2032,1.579895476,3.939418093,795
01/05/2006,162300.1354,1.938226667,6.046818376,892
01/06/2006,165000.4709,1.66379133,8.005722123,1036
01/07/2006,168500.2955,2.121099757,9.24677057,1022
01/08/2006,171083.2572,1.532912226,9.999940466,1089
01/09/2006,172610.4542,0.892663076,10.63277769,991
01/10/2006,173008.4051,0.230548511,11.43679813,1044
01/11/2006,174586.521,0.912161434,12.93673339,941
01/12/2006,176239.1805,0.946613465,12.37062301,1020
01/01/2007,177875.4779,0.928452652,13.77638527,782
01/02/2007,177614.6521,-0.146633933,13.06864798,700
01/03/2007,177583.1225,-0.017751652,13.29940835,799
01/04/2007,179796.1732,1.246205516,12.92721979,782
01/05/2007,183817.0868,2.236373274,13.25750675,876
01/06/2007,188832.5736,2.728520456,14.44365734,896
01/07/2007,192067.4468,1.713090697,13.98641541,1021
01/08/2007,193517.4177,0.75492796,13.11300761,1029
01/09/2007,194058.0974,0.279395899,12.42546014,787
01/10/2007,195195.9759,0.586359732,12.82456242,885
01/11/2007,193187.5821,-1.028911486,10.65435122,795
01/12/2007,192339.2304,-0.439133677,9.135340865,644
01/01/2008,191106.3552,-0.640989969,7.43828071,463
01/02/2008,189948.3736,-0.605935703,6.944090134,491
01/03/2008,184184.0657,-3.034670851,3.717100503,474
01/04/2008,182168.3487,-1.094403575,1.319369278,552
01/05/2008,183477.0304,0.718391421,-0.184997113,667
01/06/2008,185327.9564,1.008805244,-1.855938913,538
01/07/2008,182741.5244,-1.395597291,-4.855545569,481
01/08/2008,180601.5228,-1.171053812,-6.674280282,420
01/09/2008,177822.4471,-1.538788631,-8.366386406,365
01/10/2008,173303.6317,-2.541195183,-11.21557152,404
01/11/2008,164815.0154,-4.89811791,-14.6865375,298
01/12/2008,157697.2261,-4.318653421,-18.01088846,377
01/01/2009,154684.9991,-1.910133178,-19.05816061,257
01/02/2009,154540.2638,-0.093567779,-18.64091234,261
01/03/2009,155919.6795,0.892593061,-15.34572825,336
01/04/2009,153648.1898,-1.456833213,-15.65593534,384
01/05/2009,154031.9403,0.249759236,-16.04837949,472
01/06/2009,156085.6357,1.333291905,-15.77868834,482
01/07/2009,158313.5265,1.427351593,-13.36751347,585
01/08/2009,159420.4845,0.699218844,-11.72805077,529
01/09/2009,162249.7452,1.774715874,-8.757444405,570
01/10/2009,164542.8809,1.41333703,-5.05514551,594
01/11/2009,166488.299,1.182316779,1.015249461,553
01/12/2009,165628.6536,-0.516339853,5.02952881,826
01/01/2010,168049.7572,1.461766158,8.639983283,271
01/02/2010,170055.6763,1.193645955,10.03972177,354
01/03/2010,170566.1943,0.300206369,9.393628092,427
01/04/2010,169335.3128,-0.72164445,10.20976754,489
01/05/2010,170141.4132,0.476037983,10.45852752,494
01/06/2010,173126.7989,1.754649627,10.91782923,568
01/07/2010,176335.6629,1.853476197,11.38382597,581
01/08/2010,177084.5908,0.424717221,11.08019858,552
01/09/2010,177293.2066,0.117805712,9.271793538,515
01/10/2010,175923.3408,-0.772655559,6.916409741,519
