ward,distance
Ashley,2.160436335
Bedminster,3.159258958
Avonmouth and Lawrence Weston,6.909360567
Bishopsworth,5.118503271
Bishopston and Ashley Down,2.583908985
Brislington East,5.83242638
Easton,3.774908253
Clifton,1.069218172
Frome Vale,6.171731384
Filwood,4.611695223
Cotham,0.8928194
Clifton Down,0
Brislington West,5.577782367
Eastville,4.694744373
Central,1.732397552
Hartcliffe and Withywood,6.371243938
Lockleaze,4.007692585
Hillfields,6.334940667
Henbury and Brentry,4.929948187
Redland,1.395089454
Horfield,3.815202718
Knowle,4.54831559
Lawrence Hill,3.102166319
Hengrove and Whitchurch Park,6.435016835
Hotwells and Harbourside,1.708494365
St George Central,6.003527278
Stockwood,6.842358761
Southmead,4.313332356
Stoke Bishop,2.134951012
Westbury-on-Trym and Henleaze,2.78211134
Windmill Hill,3.425847107
Southville,2.482302596
St George Troopers Hill,5.864633303
St George West,4.599342639
