Ward name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022,Year ending Mar 2023
Ashley,46500,46000,45750,49000,51000,54500,55700,52200,52000,52200,52250,56225,59950,58500,60000,64950,70000,75748,78995,80475,83250,82500,85000,89950,97000,103000,110000,125250,127250,134250,135500,138000,140000,140000,142500,147000,149975,150000,152750,156750,160000,161850,170000,180000,180000,190000,194000,196000,198500,195000,192750,185000,184500,185000,173000,175000,175000,175000,167500,167495,169995,169995,180000,180000,180000,180000,183000,191750,202750,205000,208515,204500,200000,200000,205000,213750,215000,225000,230000,233800,240000,245250,260559,273700,280000,281850,280850,285000,295000,295000,268000,270000,274000,280000,309500,315000,315000,320000,325000,322500,343750,370000,379975,379950,375000,361250,356250,360000,370000,380000
Bedminster,40500,39950,39500,40000,40000,40725,41000,42950,44000,45000,46500,47973,49725,51000,52625,55000,59625,61000,67000,70000,73500,74995,76750,80250,84500,86000,89000,98000,110000,117725,123000,126000,131000,132500,138000,142000,147750,149950,149973,150000,152500,153000,157500,162950,163500,167998,170000,174950,182500,184500,179500,172500,169500,165000,150000,154500,160000,165000,180000,180000,180000,175000,172748,170000,167000,168000,169500,175000,180000,182500,181875,176625,180000,185200,195000,210000,210800,220000,213500,220000,226525,227500,245000,251000,267650,280000,260275,281000,285000,290000,296000,301500,290000,285000,286250,285000,287000,300000,300000,301848,310000,315000,320000,325000,335000,334150,335000,375000,390000,397575
Avonmouth and Lawrence Weston,43500,42500,42500,43000,44500,46000,46750,48000,50000,52000,53000,52000,52000,53125,54975,56498,56495,56248,57500,58950,60000,65000,68975,70500,74000,75000,79950,83500,86950,89000,90000,95975,105000,109975,116998,120000,122000,125000,124000,125000,125000,128500,132000,136000,138600,140000,141750,143000,148250,152000,152500,150000,145500,140000,132000,130000,135000,135500,140000,144000,149000,149000,150000,141000,133000,133000,132000,135000,136250,135000,137000,139500,140000,145000,154000,159950,161350,168500,169950,173000,182000,185000,190000,200000,200000,205000,208000,212500,213750,215000,220000,220000,223000,225000,225000,225000,225000,219300,220000,225000,239500,257250,255000,260000,258375,264500,266000,275000,281375,285000
Bishopsworth,48750,48000,47500,47000,47250,47375,47975,48500,49500,50000,53250,57000,59090,59000,59995,60000,64488,69000,71725,74000,75250,77250,80000,84950,85000,87000,93500,96750,105000,114000,122500,125000,127000,130000,134000,137000,140000,143000,146000,145000,145000,145000,145000,147595,153000,154000,158500,166000,167500,168000,165000,159500,155000,155000,145000,146500,150000,150000,155000,162750,163500,169300,167000,156000,150000,147000,146500,148000,150000,150000,150000,154000,155500,160000,167000,175000,180000,181500,183995,185000,192750,197500,212250,216666,220000,225000,225150,225000,230000,234995,235000,239995,238973,240995,253500,264695,273000,276000,273000,275000,278000,285000,300000,297000,296500,292500,285000,305000,310000,315000
Bishopston and Ashley Down,57450,58000,57450,58000,59000,59375,61500,65000,67000,68000,72998,75900,77000,78567,81000,87500,94000,96998,105500,112000,116750,115000,117000,119500,123000,126950,131000,138500,150000,159475,172000,175000,175000,177000,185000,190000,192250,195000,198000,197500,198000,200000,202500,210000,220000,224000,235000,238250,244450,241500,237250,225000,200000,200000,200000,200000,212000,215000,223250,225000,229000,233000,233000,225750,226000,227800,228150,232250,235000,239250,241000,247850,246250,249950,250000,260000,270000,275000,290000,300000,315000,325000,327000,351500,351500,365000,375000,377000,387500,382000,375000,385000,378800,385000,384775,383600,392000,387500,385000,367000,398750,418000,433250,440000,436000,441250,450000,477000,495000,482500
Brislington East,43550,43000,45500,47000,47000,47000,47000,48373,49548,49500,49000,48500,48500,49973,52000,54000,56000,58000,60000,64000,65950,68000,70500,72500,77000,79000,82000,87500,94950,104000,112500,118250,118250,117500,120250,123750,127750,129000,131348,130000,131000,132250,138500,140000,140500,144000,148000,155625,160000,163400,158000,155000,148000,145000,138500,134000,135500,138750,141000,145500,152250,152750,150000,149250,146250,146500,147000,147748,147000,143000,142500,142000,147000,151000,159950,165500,167500,166000,169950,170000,180000,188750,196000,210000,210500,220000,224875,225000,228500,235000,236500,240000,245000,245000,250000,243000,242750,237500,241250,256000,260000,266000,265500,262500,265000,265000,275000,299000,315000,325000
Easton,32600,29995,30000,30000,32000,33000,34000,34000,34500,35000,35000,37000,37500,39000,41500,43500,45995,47300,50000,53950,56500,59423,60000,64000,67000,69998,73000,77995,83995,89000,95000,100000,104000,105000,108000,110000,114995,116000,120000,120000,121000,122000,125000,127000,131000,135000,141000,149000,153500,157000,156000,149950,143000,137250,128000,125000,127688,128000,130000,133250,133000,133250,133000,131500,132250,132000,136250,139000,140000,140500,141000,143825,144000,147750,150500,158000,168000,175000,182725,189995,207000,215000,225000,235000,240000,247000,252000,250750,263000,264500,267369,275000,270250,270000,270000,270500,272500,276800,272500,274000,282500,295000,306563,314500,325000,337500,340000,346000,359630,360000
Clifton,70000,70500,70000,70000,70000,72250,75000,79725,82000,82750,88500,90000,90000,90750,95000,104000,116000,124500,128725,131500,133500,139000,140500,150000,155000,165000,170000,175000,178500,185250,197000,199975,200000,200000,203000,215000,217000,230000,226943,220000,219000,218250,225000,225000,228000,234500,238500,247750,250000,260000,261000,262000,250000,250000,250000,242500,239000,238000,245000,250000,265000,280000,273000,271500,267000,270000,276000,275000,282500,280000,278500,282500,279500,278000,275000,291000,300000,312500,320000,315000,319500,340000,350000,371250,393000,415000,420000,422000,420000,420000,406500,420000,425000,407500,416000,413750,407500,405000,415000,395000,424500,425000,430000,436250,442500,450000,435000,440050,440000,440903
Frome Vale,46500,46725,46500,48000,50000,53000,55375,56500,57500,59000,59500,62000,62998,63000,65500,67000,70000,71000,74975,77500,79975,80875,82500,85500,87500,93000,96000,110000,115000,120000,125000,128250,135000,137500,144000,150000,152000,152750,155500,160000,160000,158500,160000,161750,164950,168250,170500,176000,180250,180000,179725,170000,164500,161500,153000,150000,155000,159997,160000,168000,172500,165000,166000,164000,160000,162500,161000,160000,164500,156000,157000,162000,162500,170500,177000,182500,185000,187000,190000,195000,205000,216250,220000,215000,229250,230000,240000,250000,263000,260000,259975,262500,267000,269500,266995,265998,265998,270000,272250,280000,280000,297000,299500,300000,300000,299250,311500,314000,325000,320500
Filwood,29000,31000,32750,32000,30000,29498,29998,32000,33975,35093,35000,35185,35000,35000,38000,40000,42950,44000,44250,46000,48000,49000,49500,50750,54000,55973,59000,64725,68750,74000,78000,82500,86500,87000,88500,92750,95000,100000,103995,104975,106000,107000,109780,114000,117000,120000,124000,130000,132500,136000,137000,134500,129454,121750,120000,110000,107500,110000,108000,110250,115000,115000,115000,116750,115500,116750,118000,119000,120000,120000,121000,121500,130000,129000,132000,138000,145000,146000,147000,149500,152000,160000,170000,175000,179000,185000,190000,196000,200000,215000,223611,218000,226500,235000,226000,224998,216000,216000,225000,232500,255995,261995,264995,261995,250000,255000,260000,275000,285000,291000
