Ward name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022,Year ending Mar 2023
Ashley,3,7,8,11,11,10,11,7,8,5,5,8,6,6,4,1,0,0,0,0,0,1,10,12,13,15,11,63,91,98,114,69,52,48,38,35,26,23,21,21,20,30,25,30,50,45,46,39,22,15,21,21,16,16,16,19,42,45,90,88,68,65,16,16,13,13,6,2,2,1,1,3,15,18,27,27,18,22,16,15,17,11,8,30,34,94,101,78,79,40,78,82,77,59,16,13,9,6,12,14,16,20,36,45,49,46,22,10,4,2
Bedminster,3,3,1,2,1,1,2,1,1,1,0,2,7,9,9,7,6,6,9,12,9,7,4,2,2,2,5,6,22,22,19,17,1,3,18,18,28,30,38,41,40,44,36,42,86,90,78,72,21,10,194,201,204,204,46,39,35,34,7,12,36,64,77,89,101,101,90,74,39,11,8,10,20,24,23,21,14,12,26,28,28,28,14,10,4,3,3,1,1,0,2,4,24,35,34,38,19,8,8,13,42,62,64,53,23,3,0,0,0,0
Avonmouth and Lawrence Weston,2,3,5,6,5,4,3,4,15,16,26,29,23,31,40,40,35,27,7,6,10,12,19,20,16,13,7,4,3,5,4,3,24,23,41,49,32,31,17,12,14,15,26,32,29,29,18,8,6,5,2,4,4,6,5,3,3,2,13,15,17,16,5,6,14,20,33,37,26,20,7,1,2,5,7,10,13,11,12,12,14,27,27,23,17,3,0,0,0,0,0,0,0,0,0,0,18,24,26,28,14,9,14,14,11,10,19,24,27,27
Bishopsworth,24,16,13,9,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,3,3,3,3,14,21,30,30,17,10,3,11,14,16,15,11,13,11,10,6,1,1,1,19,24,26,29,11,26,34,31,32,12,2,7,6,5,5,0,0,0,0,0,0,2,12,17,21,24,21,27,25,20,14,5,6,15,16,14,12,4,8,8,7,6,0,0,8,23,32,51,52,44,45,34,38,40,34,33,23,19,22,26,28,32,33,22,17,8,0
Bishopston and Ashley Down,5,4,4,3,1,2,3,3,2,2,1,1,1,1,6,6,7,7,2,2,3,15,30,31,29,17,2,2,9,8,10,9,3,5,3,4,7,7,14,30,56,67,81,75,75,71,70,61,33,45,52,58,75,59,52,52,46,49,43,43,31,24,10,2,2,2,8,17,31,32,30,23,48,66,142,156,119,101,23,9,8,6,4,2,0,0,0,0,4,5,5,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brislington East,60,47,61,90,122,142,150,140,138,117,90,61,19,9,1,2,6,6,6,4,0,0,0,0,0,0,2,12,12,13,12,3,4,3,4,4,8,17,16,15,10,4,3,4,6,6,7,9,9,8,7,8,15,13,15,13,4,4,2,0,4,6,14,22,28,38,38,36,37,25,36,31,20,21,2,1,1,2,3,3,8,8,14,14,9,7,4,10,16,16,12,6,0,0,0,0,0,0,0,0,4,8,8,22,18,14,14,0,0,0
Easton,2,3,4,3,2,1,0,0,0,0,0,4,10,16,20,18,12,6,2,0,0,1,1,1,2,2,4,10,14,13,11,10,9,16,17,17,13,7,9,6,7,7,4,18,26,29,32,19,10,9,9,9,12,10,8,6,4,6,6,5,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,3,8,12,16,19,16,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,14,14,7,5,6,6,3,2,0,0
Clifton,23,21,32,39,50,54,45,38,28,33,35,33,32,33,33,30,24,19,14,13,15,11,12,25,35,39,43,34,28,44,42,40,40,25,27,28,24,33,34,31,29,37,55,59,79,59,35,34,20,20,26,24,24,28,30,32,30,23,13,11,6,5,3,0,2,5,8,12,11,8,5,1,2,2,2,2,2,4,7,13,13,13,10,10,9,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frome Vale,0,0,1,2,5,15,24,32,37,35,35,36,30,32,27,17,15,5,3,4,4,6,3,2,2,1,8,18,23,24,21,22,28,26,26,20,12,16,15,17,18,19,21,15,19,21,20,21,14,8,9,10,22,30,47,53,50,44,25,16,8,6,3,5,4,4,4,5,4,3,3,0,0,0,1,3,3,4,5,7,10,14,23,62,83,81,88,66,55,62,62,50,49,46,44,42,55,52,47,43,29,35,25,25,24,20,19,16,6,0
Filwood,1,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,7,12,15,23,20,15,12,5,1,1,2,1,3,3,3,8,6,6,7,2,3,3,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,3,2,4,4,2,2,10,17,41,50,59,61,56,56,59,69,74,84,72,62,43,31,39,38,44,42,24,16,5,0,0,0
Cotham,11,9,9,9,9,10,14,15,18,19,15,9,10,14,13,12,8,1,1,4,3,7,8,7,10,7,13,14,12,12,7,7,9,10,8,14,13,14,16,10,11,12,16,19,19,39,37,32,29,5,3,2,2,2,0,0,13,13,13,14,1,1,1,0,1,2,2,2,2,1,1,3,2,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,37,42,42,41,6,1,1,0,0,1,1,1,1,0,0,0,0,0
Clifton Down,17,19,18,20,24,31,33,30,24,17,10,9,8,8,10,15,16,16,18,12,11,8,8,10,11,12,17,15,16,13,3,2,6,17,23,27,25,15,18,22,33,36,34,34,26,28,23,18,12,7,13,11,11,10,3,5,9,11,10,7,2,0,0,1,1,1,1,1,1,1,1,0,1,2,11,12,12,16,9,9,10,5,3,13,14,14,15,8,6,6,5,1,0,3,5,5,5,8,6,11,13,8,15,11,12,15,9,10,7,3
Brislington West,4,4,4,2,1,1,1,1,1,1,0,1,2,2,2,1,0,3,3,4,4,1,1,1,1,2,3,2,2,7,8,8,10,4,5,14,18,27,31,25,28,20,16,16,11,15,16,14,10,6,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,2,6,8,11,9,5,4,1,1,1,0,4,4,6,6,2,5,3,32,71,79,103,108,97,108,96,66,78,70,58,56,16,2,2,0,0,0,0,0,0,0,0,0,0,0
Eastville,9,7,11,18,23,37,65,75,81,79,61,51,50,42,42,40,33,30,16,9,2,1,1,1,1,1,1,4,11,16,23,42,50,46,39,18,21,32,62,71,84,73,52,47,21,22,13,8,3,14,16,18,18,5,4,2,4,4,11,18,15,16,12,6,12,17,15,17,15,12,11,10,6,3,13,19,38,47,56,49,40,32,12,11,1,0,0,2,9,10,10,8,1,0,19,22,49,69,58,63,52,38,38,30,14,8,0,0,0,0
