Unnamed: 0,Ashley,Bedminster,Avonmouth and Lawrence Weston,Bishopsworth,Bishopston and Ashley Down,Brislington East,Easton,Clifton,Frome Vale,Filwood,Cotham,Clifton Down,Brislington West,Eastville,Central,Hartcliffe and Withywood,Lockleaze,Hillfields,Henbury and Brentry,Redland,Horfield,Knowle,Lawrence Hill,Hengrove and Whitchurch Park,Hotwells and Harbourside,St George Central,Stockwood,Southmead,Stoke Bishop,Westbury-on-Trym and Henleaze,Windmill Hill,Southville,St George Troopers Hill,St George West
Ashley,(),(),(),(),(),(),"(4, 6)",(),(),(),"(4,)",(),(),(),(),(),(),"(1, 4)","(5,)",(),(),"(1, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)","(3, 4)",(),(),"(34,)","(2, 4, 5, 6)",(),(),(),(),(),(),()
Bedminster,(),(),"(18, 19, 20, 21, 22, 23, 24)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(1, 3)","(1,)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",(),(),"(2, 5, 15, 19)","(1, 2, 3, 4, 5, 6, 7, 8, 9)","(1, 2)",(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 19, 20, 21)",(),"(1,)",(),"(6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17)",(),"(1,)",(),"(1,)","(1, 2, 3, 4, 5, 6)","(1,)",(),"(3,)","(1,)",(),"(1,)","(1, 2, 3, 4, 5, 6, 7)"
Avonmouth and Lawrence Weston,(),"(3, 4)",(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8)","(1, 4)",(),"(2, 3, 4, 5, 22, 23)","(5, 11, 12)",(),(),"(2, 4)","(1, 2, 3, 4, 5, 6, 7)",(),(),(),"(1, 2, 3, 4, 10, 16, 17, 18, 19, 20, 21, 22)",(),(),(),(),"(8,)",(),(),"(1, 4)","(4, 6)",(),(),(),(),(),"(2, 3, 4, 5, 6, 7, 8, 9)","(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)"
Bishopsworth,(),"(1,)","(1, 2, 3, 4)",(),"(1, 2, 3)","(1, 2, 8, 9)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18)","(1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16)",(),(),(),"(2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","(10, 11)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13)",(),(),"(2, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 27, 28)","(3, 4, 6, 7, 8, 9, 10)",(),(),"(1, 3, 13, 14, 15)","(1, 2, 3, 4, 5, 6, 9, 10)","(1, 2, 3, 4, 5, 6)",(),(),"(1, 10, 11, 12)",(),(),(),"(1, 2, 4)"
Bishopston and Ashley Down,"(1,)","(1, 2, 3, 4, 5, 6, 7)",(),(),(),(),(),(),"(1,)",(),(),"(5, 6, 7)",(),(),(),(),(),"(1,)",(),(),(),"(1, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33)",(),(),(),(),"(2, 3, 4)",(),(),(),"(1, 2, 3, 4, 5, 6)","(11, 12)",(),"(1,)"
Brislington East,(),"(1, 2, 3, 4, 5, 6, 7, 26)",(),"(12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29)",(),(),"(3, 4, 5, 6, 14, 26)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 24)",(),(),"(21,)","(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17)",(),(),"(3,)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26)","(3, 4)",(),(),(),(),(),(),"(1,)","(1, 2, 3)",(),(),(),"(1, 2, 3, 4)",(),(),"(4, 12, 13, 14, 15, 17)"
Easton,(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)","(31, 32)",(),"(1, 2)","(1,)",(),(),(),(),(),"(3, 4, 5, 6)","(1, 2)",(),(),(),(),"(1,)",(),(),"(1, 8, 10)","(1, 2, 4)","(1,)",(),(),"(1,)","(1,)",(),(),"(1,)","(1, 2, 4, 5)",(),(),"(1, 2, 3, 4, 5, 6, 7)"
Clifton,(),"(1, 2, 3, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 21, 23, 24, 25, 26, 27)","(1, 2, 3)",(),(),"(1, 2, 3, 10, 11, 12, 13, 16, 19, 20, 21)","(1, 2, 3, 4, 5)",(),"(1, 2, 3, 4)",(),(),"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13)","(1, 2, 3, 4)","(1,)","(9, 10, 31, 32, 33, 34)","(1, 19)","(1,)","(1, 2, 3, 4)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)","(1, 2, 3, 4, 5, 34)",(),"(32,)",(),"(2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 20, 21, 22, 23)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 16, 18, 24, 25, 27, 29)",(),(),"(1, 2, 3, 4)","(1, 2)",(),()
Frome Vale,(),"(25, 26)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)","(1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19)","(1, 2)","(1,)","(1, 11, 12, 13)",(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22)","(1,)","(1,)","(6,)","(1, 13, 15, 17)",(),"(1, 2, 7)",(),"(1,)","(1,)",(),(),"(1,)",(),"(1, 4)",(),(),(),(),"(1,)",(),"(1,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)"
Filwood,"(4, 5, 6, 8, 9, 14, 15)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 34)","(1, 2)","(1, 2, 3, 4, 5, 6, 7, 8)","(1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 19)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",(),(),"(4, 12, 13)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)","(4, 5, 6)",(),"(1, 2, 3, 5, 6)","(1, 2, 4, 5, 7)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21)","(1, 3, 4, 5, 6, 7, 9, 10, 23)","(35,)",(),(),"(1, 2, 3, 4)","(1, 2, 3, 4)","(1, 2, 3, 4)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","(1, 2, 3)","(1,)",(),(),"(1, 2, 3, 4)","(1, 4, 5, 8, 10)","(4,)","(4, 5, 6, 7, 8)"
