ward,Ashley,Bedminster,Avonmouth and Lawrence Weston,Bishopsworth,Bishopston and Ashley Down,Brislington East,Easton,Clifton,Frome Vale,Filwood,Cotham,Clifton Down,Brislington West,Eastville,Central,Hartcliffe and Withywood,Lockleaze,Hillfields,Henbury and Brentry,Redland,Horfield,Knowle,Lawrence Hill,Hengrove and Whitchurch Park,Hotwells and Harbourside,St George Central,Stockwood,Southmead,Stoke Bishop,Westbury-on-Trym and Henleaze,Windmill Hill,Southville,St George Troopers Hill,St George West
Ashley,0.0,4.4013986,8.326104101,6.08538783,1.546149267,4.296192642,1.737754577,2.929869225,4.122748078,4.781395916,1.268096427,2.160436335,4.36668581,2.54842836,1.726214451,7.015840668,2.299307085,4.174551501,5.320915217,1.569720167,3.045333053,3.958706577,1.651456763,6.273482452,2.785421997,3.910536137,6.004858512,4.138246412,3.908512313,3.4735581,3.211932551,3.129858599,3.927944752,2.578697506
Bedminster,4.4013986,0.0,9.105385861,1.979842438,5.508100953,5.797501838,5.222090891,2.156709246,8.400347019,2.406742672,3.54919041,3.159258958,5.071789899,6.677542609,2.710992929,3.345513554,6.678921388,8.010325718,7.989398363,4.475013382,6.899627449,3.479286043,4.019420534,4.215990112,1.639313255,7.195520347,5.477512072,7.472320477,4.585843383,5.863460059,2.507140029,1.4208044,6.617203937,5.801444627
Avonmouth and Lawrence Weston,8.326104101,9.105385861,0.0,10.89651394,7.284646486,12.57074432,10.02065656,7.320709381,10.69333401,11.24531928,7.468641002,6.909360567,12.44579765,10.09551354,8.637917487,12.36689159,8.434269607,11.70849035,4.139309058,6.759033767,6.75937309,11.44724314,9.807224358,13.13104393,8.354271735,11.97917584,13.74680281,5.578638958,4.794069038,4.943176154,10.29869946,9.160003512,12.20898496,10.83638853
Bishopsworth,6.08538783,1.979842438,10.89651394,0.0,7.346072575,6.274907047,6.530515232,4.135660495,9.848319336,2.168134493,5.415066359,5.118503271,5.369788028,8.091296675,4.361299516,1.479972906,8.383861708,9.20558621,9.969112463,6.390161342,8.788203629,3.790905367,5.294922947,3.2647844,3.494620396,8.199833123,5.081468676,9.42847148,6.527134081,7.842544598,3.35493381,2.958525846,7.442724779,6.936003822
Bishopston and Ashley Down,1.546149267,5.508100953,7.284646486,7.346072575,0.0,5.659775516,2.878425032,3.622137342,3.890118198,6.250083411,1.960603346,2.583908985,5.845352043,2.848068363,3.057710499,8.398459049,1.525795735,4.522127787,3.890437347,1.232374094,1.516003481,5.504104366,3.170549397,7.804987702,3.877339581,4.694987933,7.531143782,2.610410283,3.473216255,2.345864094,4.713291326,4.413070629,4.993760682,3.630616698
Brislington East,4.296192642,5.797501838,12.57074432,6.274907047,5.659775516,0.0,2.818620205,5.934669566,5.233488264,4.113683043,5.128533234,5.83242638,0.976817388,3.873417933,4.178827057,6.271105061,5.407034015,3.882540236,9.548647882,5.83198577,6.941182815,2.486847042,2.769215871,4.17363593,5.042339695,2.576576927,2.606740902,8.223950169,7.930884821,7.769522797,3.291805821,4.555134986,1.573912636,2.280818782
Easton,1.737754577,5.222090891,10.02065656,6.530515232,2.878425032,2.818620205,0.0,4.321142216,3.341213045,4.752762151,2.905416272,3.774908253,3.180377786,1.591447679,2.642993079,7.137389352,2.660014879,2.797076727,6.764034531,3.292102417,4.12300647,3.429641779,1.237319674,5.802555258,3.818066005,2.231657096,4.993811124,5.409469517,5.642183038,5.109202725,3.216502983,3.805204466,2.19610256,0.84185073
Clifton,2.929869225,2.156709246,7.320709381,4.135660495,3.622137342,5.934669566,4.321142216,0.0,7.043846954,3.940981614,1.745795012,1.069218172,5.508721833,5.464808403,1.796651132,5.456735115,4.989424908,7.033140577,5.837037326,2.460278213,4.884414113,4.235369277,3.393980285,5.819803366,1.043976378,6.533442149,6.52393907,5.342139277,2.580607755,3.706906433,3.057374876,1.840229299,6.240092509,5.091339906
Frome Vale,4.122748078,8.400347019,10.69333401,9.848319336,3.890118198,5.233488264,3.341213045,7.043846954,0.0,8.088059681,5.321319127,6.171731384,5.992610324,1.757969108,5.697490065,10.47547159,2.397973933,1.605476947,6.696990711,5.035467426,3.934839566,6.684718282,4.561709214,8.993342429,6.850892581,2.79606396,7.80782946,5.17080876,7.362342258,6.001015749,6.556901129,7.020329564,3.744531968,3.194199071
Filwood,4.781395916,2.406742672,11.24531928,2.168134493,6.250083411,4.113683043,4.752762151,3.940981614,8.088059681,0.0,4.537715569,4.611695223,3.20165679,6.344199915,3.227820871,2.389141141,6.983700343,7.259257653,9.500529634,5.573965959,7.763357809,1.642701309,3.575894128,1.886998428,2.945853765,6.165343832,3.132692356,8.657737661,6.51946914,7.364674781,1.594425281,2.138528699,5.347285479,5.007221206
Cotham,1.268096427,3.54919041,7.468641002,5.415066359,1.960603346,5.128533234,2.905416272,1.745795012,5.321319127,4.537715569,0.0,0.8928194,4.982443129,3.808492275,1.341896242,6.53788708,3.24967386,5.442603706,5.004982798,1.036526053,3.373272098,4.160099664,2.360715151,6.25701902,1.926298852,5.126889035,6.401561733,4.128546911,2.815530017,2.919012853,3.143038118,2.534030363,5.033174669,3.738500372
